TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-047456-01-e.csv,,,,,,,,,,,,,,,,,,,
DATE: 08/16/2019,,,,,,,,,,,,,,,,,,,
DESIGN: 02_047456e_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: C:\tmp\20_047456e\worklib\02_047456e_top\bom\bom.callouts,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
24,1,E005562,TRANSISTOR TIP31BG NPN TO-220, TIP31BG,TO220,N/A,N/A,N/A,Q2,ON SEMICONDUCTOR, TIP31BG,REL,ADD_TO_STOCK_39,42005JH130,N/A,N/A,1006080,?,?
25,2,E004245,RES THICK FILM CHIP,560,R0603,1,N/A,1/16W,"R1,R42",MULTICOMP (SPC), MC0063W06031560R,REL,N/A,N/A,N/A,N/A,N/A,?,?
26,2,E003254,RES PRECISION THICK FILM CHIP, 10K,R0805,1,N/A,1/8W,"R10,R33",PANASONIC, ERJ-6ENF1002V,REL,A003-0018-083,41816JH359,FEC 911-975,116_CAB3,N/A,?,?
27,1,E017856,RES THICK FILM CHIP, 10K,R0603,1,N/A,1/16W,R11,MULTICOMP (SPC), MC0063W0603110K,REL,N/A,N/A,N/A,N/A,N/A,?,?
28,2,E003811,"RES METAL FILM CHIP, FOR SM-TH COMBO FOOTPRINT USE ALT_SYMBOLS", 1K,R0805,0.1,N/A,1/8W,"R12,R27",PANASONIC, ERA-6AEB102V,REL,A003-0036-014,N/A,FEC 554-005,N/A,N/A,?,?
29,4,E003806,"RES THIN FILM CHIP, HIGH RELIABILITY", 10K,R0805,0.1,N/A,1/8W,"R13,R14,R28,R29",PANASONIC, ERA-6AEB103V,REL,N/A,N/A,N/A,N/A,7001467,?,?
30,1,E014042,RES STD THICK FILM CHIP, 17.4K,R0402,1,N/A,1/16W,R15,VISHAY, CRCW040217K4FKED,REL,N/A,N/A,N/A,1594_CAB3,7006318,?,?
31,1,E019640,RES STD THICK FILM CHIP, 10K,R0402,5,N/A,1/16W,R16,VISHAY, CRCW040210K0JNED,REL,N/A,N/A,N/A,N/A,7000280,?,?
32,6,E004152,RES THIN FILM CHIP,0,R0805,N/A,N/A,1/10W,"R17,R20,R22,R32,R38,R39",MULTICOMP (SPC), MC 0.1W 0805 0R,REL,N/A,N/A,N/A,N/A,7005370,?,?
33,6,E030617,RES PRECISION THIN FILM CHIP, 2MEG,R0805,0.1,N/A,1/10W,"R2,R3,R4,R5,R18,R19",TE CONNECTIVITY, CPF0805B2M0E1,REL,N/A,N/A,N/A,N/A,N/A,?,?
34,1,E004198,RES FILM SMD 0805,62,R0805,5,N/A,1/10W,R21,MULTICOMP (SPC), MC 0.1W 0805 5% 62R.,REL,ADD_TO_STOCK_143,N/A,771-193,N/A,7008206,?,?
35,1,E014707,RES PRECISION THICK FILM CHIP,51,R0805,1,N/A,1/8W,R25,PANASONIC, ERJ-6ENF51R0V,REL,N/A,N/A,N/A,N/A,7007982,?,?
36,1,E023447,RES THICK FILM CHIP,470,R0805,1,150V,1/3W,R26,VISHAY, CRCW0805470RFKEAHP,REL,N/A,N/A,N/A,N/A,N/A,?,?
37,1,E003438,RES CHIP SMD JMPR,0,R0402,5,N/A,N/A,R34,PANASONIC, ERJ-2GE0R00X,REL,A003-0021-001,N/A,N/A,1138_CAB3,7000282,?,?
39,5,E003415,RES PRECISION THICK FILM CHIP, 1K,R0805,1,N/A,1/8W,"R6,R7,R8,R9,R36",PANASONIC, ERJ-6ENF1001V,REL,A003-0019-008,41816DG204,FEC 911-859,613_CAB3,N/A,?,?
40,2,E004207,RES FILM SMD 0603,0,R0603,1,N/A,1/16W,"R40,R41",MULTICOMP (SPC), MC0603WG00000T5E-TC,REL,A003-0032-130,N/A,772-227,N/A,N/A,?,?
41,1,E025935,"RES METAL FOIL CURRENT SENSING, TWO TERMINAL",0.05,R2512_6P_RSENSE,1,200V,2W,RCAL,MULTICOMP  ,MCLRP12DTDRR050,REL,N/A,N/A,N/A,N/A,N/A,?,?
42,1,E004572,SW SM MECHANICAL KEYSWITCH, B3S-1000,SWB3S1000,N/A,N/A,N/A,RESET,OMRON, B3S1000,REL,A007-0004-019,41916JH036,N/A,N/A,6003207,?,?
